"model.id","tissue","tissue.name","patient.id","drug"
"X.027.BK20","X.027.BK20","GC","Gastric Cancer","X-027","BKM120"
"X.027.BY19","X.027.BY19","GC","Gastric Cancer","X-027","BYL719"
"X.027.BY19.HS90","X.027.BY19.HS90","GC","Gastric Cancer","X-027","BYL719 + HSP990"
"X.027.CL57","X.027.CL57","GC","Gastric Cancer","X-027","CLR457"
"X.027.fiab","X.027.fiab","GC","Gastric Cancer","X-027","figitumumab"
"X.027.HD01","X.027.HD01","GC","Gastric Cancer","X-027","HDM201"
"X.027.LE11","X.027.LE11","GC","Gastric Cancer","X-027","LEE011"
"X.027.LJ16","X.027.LJ16","GC","Gastric Cancer","X-027","LJM716"
"X.027.LL71","X.027.LL71","GC","Gastric Cancer","X-027","LLM871"
"X.027.trab","X.027.trab","GC","Gastric Cancer","X-027","trastuzumab"
"X.028.BG98","X.028.BG98","GC","Gastric Cancer","X-028","BGJ398"
"X.028.biib","X.028.biib","GC","Gastric Cancer","X-028","binimetinib"
"X.028.BK20","X.028.BK20","GC","Gastric Cancer","X-028","BKM120"
"X.028.BY19","X.028.BY19","GC","Gastric Cancer","X-028","BYL719"
"X.028.BY19.HS90","X.028.BY19.HS90","GC","Gastric Cancer","X-028","BYL719 + HSP990"
"X.028.BY19.LJ16","X.028.BY19.LJ16","GC","Gastric Cancer","X-028","BYL719 + LJM716"
"X.028.CL57","X.028.CL57","GC","Gastric Cancer","X-028","CLR457"
"X.028.evus","X.028.evus","GC","Gastric Cancer","X-028","everolimus"
"X.028.fiab","X.028.fiab","GC","Gastric Cancer","X-028","figitumumab"
"X.028.HD01","X.028.HD01","GC","Gastric Cancer","X-028","HDM201"
"X.028.HS90","X.028.HS90","GC","Gastric Cancer","X-028","HSP990"
"X.028.IN80","X.028.IN80","GC","Gastric Cancer","X-028","INC280"
"X.028.IN80.trab","X.028.IN80.trab","GC","Gastric Cancer","X-028","INC280 + trastuzumab"
"X.028.LE11","X.028.LE11","GC","Gastric Cancer","X-028","LEE011"
"X.028.LE11.evus","X.028.LE11.evus","GC","Gastric Cancer","X-028","LEE011 + everolimus"
"X.028.LJ16","X.028.LJ16","GC","Gastric Cancer","X-028","LJM716"
"X.028.LJ16.trab","X.028.LJ16.trab","GC","Gastric Cancer","X-028","LJM716 + trastuzumab"
"X.028.LL71","X.028.LL71","GC","Gastric Cancer","X-028","LLM871"
"X.028.trab","X.028.trab","GC","Gastric Cancer","X-028","trastuzumab"
"X.029.BG98","X.029.BG98","GC","Gastric Cancer","X-029","BGJ398"
"X.029.biib","X.029.biib","GC","Gastric Cancer","X-029","binimetinib"
"X.029.BK20","X.029.BK20","GC","Gastric Cancer","X-029","BKM120"
"X.029.BY19","X.029.BY19","GC","Gastric Cancer","X-029","BYL719"
"X.029.BY19.HS90","X.029.BY19.HS90","GC","Gastric Cancer","X-029","BYL719 + HSP990"
"X.029.BY19.LJ16","X.029.BY19.LJ16","GC","Gastric Cancer","X-029","BYL719 + LJM716"
"X.029.CL57","X.029.CL57","GC","Gastric Cancer","X-029","CLR457"
"X.029.evus","X.029.evus","GC","Gastric Cancer","X-029","everolimus"
"X.029.fiab","X.029.fiab","GC","Gastric Cancer","X-029","figitumumab"
"X.029.HD01","X.029.HD01","GC","Gastric Cancer","X-029","HDM201"
"X.029.HS90","X.029.HS90","GC","Gastric Cancer","X-029","HSP990"
"X.029.IN80","X.029.IN80","GC","Gastric Cancer","X-029","INC280"
"X.029.IN80.trab","X.029.IN80.trab","GC","Gastric Cancer","X-029","INC280 + trastuzumab"
"X.029.LE11","X.029.LE11","GC","Gastric Cancer","X-029","LEE011"
"X.029.LJ16.trab","X.029.LJ16.trab","GC","Gastric Cancer","X-029","LJM716 + trastuzumab"
"X.029.LL71","X.029.LL71","GC","Gastric Cancer","X-029","LLM871"
"X.029.trab","X.029.trab","GC","Gastric Cancer","X-029","trastuzumab"
"X.031.BG98","X.031.BG98","GC","Gastric Cancer","X-031","BGJ398"
"X.031.biib","X.031.biib","GC","Gastric Cancer","X-031","binimetinib"
"X.031.BK20","X.031.BK20","GC","Gastric Cancer","X-031","BKM120"
"X.031.BY19","X.031.BY19","GC","Gastric Cancer","X-031","BYL719"
"X.031.BY19.HS90","X.031.BY19.HS90","GC","Gastric Cancer","X-031","BYL719 + HSP990"
"X.031.CL57","X.031.CL57","GC","Gastric Cancer","X-031","CLR457"
"X.031.evus","X.031.evus","GC","Gastric Cancer","X-031","everolimus"
"X.031.fiab","X.031.fiab","GC","Gastric Cancer","X-031","figitumumab"
"X.031.HD01","X.031.HD01","GC","Gastric Cancer","X-031","HDM201"
"X.031.HS90","X.031.HS90","GC","Gastric Cancer","X-031","HSP990"
"X.031.IN80","X.031.IN80","GC","Gastric Cancer","X-031","INC280"
"X.031.IN80.trab","X.031.IN80.trab","GC","Gastric Cancer","X-031","INC280 + trastuzumab"
"X.031.LE11","X.031.LE11","GC","Gastric Cancer","X-031","LEE011"
"X.031.LE11.evus","X.031.LE11.evus","GC","Gastric Cancer","X-031","LEE011 + everolimus"
"X.031.LJ16","X.031.LJ16","GC","Gastric Cancer","X-031","LJM716"
"X.031.LJ16.trab","X.031.LJ16.trab","GC","Gastric Cancer","X-031","LJM716 + trastuzumab"
"X.031.LL71","X.031.LL71","GC","Gastric Cancer","X-031","LLM871"
"X.031.trab","X.031.trab","GC","Gastric Cancer","X-031","trastuzumab"
"X.031.uned","X.031.uned","GC","Gastric Cancer","X-031","untreated"
"X.034.BG98","X.034.BG98","GC","Gastric Cancer","X-034","BGJ398"
"X.034.biib","X.034.biib","GC","Gastric Cancer","X-034","binimetinib"
"X.034.BK20","X.034.BK20","GC","Gastric Cancer","X-034","BKM120"
"X.034.BY19","X.034.BY19","GC","Gastric Cancer","X-034","BYL719"
"X.034.BY19.HS90","X.034.BY19.HS90","GC","Gastric Cancer","X-034","BYL719 + HSP990"
"X.034.BY19.LJ16","X.034.BY19.LJ16","GC","Gastric Cancer","X-034","BYL719 + LJM716"
"X.034.CL57","X.034.CL57","GC","Gastric Cancer","X-034","CLR457"
"X.034.evus","X.034.evus","GC","Gastric Cancer","X-034","everolimus"
"X.034.fiab","X.034.fiab","GC","Gastric Cancer","X-034","figitumumab"
"X.034.HD01","X.034.HD01","GC","Gastric Cancer","X-034","HDM201"
"X.034.HS90","X.034.HS90","GC","Gastric Cancer","X-034","HSP990"
"X.034.IN80","X.034.IN80","GC","Gastric Cancer","X-034","INC280"
"X.034.IN80.trab","X.034.IN80.trab","GC","Gastric Cancer","X-034","INC280 + trastuzumab"
"X.034.LE11","X.034.LE11","GC","Gastric Cancer","X-034","LEE011"
"X.034.LE11.evus","X.034.LE11.evus","GC","Gastric Cancer","X-034","LEE011 + everolimus"
"X.034.LJ16","X.034.LJ16","GC","Gastric Cancer","X-034","LJM716"
"X.034.LJ16.trab","X.034.LJ16.trab","GC","Gastric Cancer","X-034","LJM716 + trastuzumab"
"X.034.LL71","X.034.LL71","GC","Gastric Cancer","X-034","LLM871"
"X.034.trab","X.034.trab","GC","Gastric Cancer","X-034","trastuzumab"
"X.035.BG98","X.035.BG98","GC","Gastric Cancer","X-035","BGJ398"
"X.035.biib","X.035.biib","GC","Gastric Cancer","X-035","binimetinib"
"X.035.BK20","X.035.BK20","GC","Gastric Cancer","X-035","BKM120"
"X.035.BY19","X.035.BY19","GC","Gastric Cancer","X-035","BYL719"
"X.035.BY19.HS90","X.035.BY19.HS90","GC","Gastric Cancer","X-035","BYL719 + HSP990"
"X.035.BY19.LJ16","X.035.BY19.LJ16","GC","Gastric Cancer","X-035","BYL719 + LJM716"
"X.035.evus","X.035.evus","GC","Gastric Cancer","X-035","everolimus"
"X.035.fiab","X.035.fiab","GC","Gastric Cancer","X-035","figitumumab"
"X.035.HD01","X.035.HD01","GC","Gastric Cancer","X-035","HDM201"
"X.035.HS90","X.035.HS90","GC","Gastric Cancer","X-035","HSP990"
"X.035.IN80.trab","X.035.IN80.trab","GC","Gastric Cancer","X-035","INC280 + trastuzumab"
"X.035.LE11","X.035.LE11","GC","Gastric Cancer","X-035","LEE011"
"X.035.LE11.evus","X.035.LE11.evus","GC","Gastric Cancer","X-035","LEE011 + everolimus"
"X.035.LJ16","X.035.LJ16","GC","Gastric Cancer","X-035","LJM716"
"X.035.LJ16.trab","X.035.LJ16.trab","GC","Gastric Cancer","X-035","LJM716 + trastuzumab"
"X.035.LL71","X.035.LL71","GC","Gastric Cancer","X-035","LLM871"
"X.035.trab","X.035.trab","GC","Gastric Cancer","X-035","trastuzumab"
"X.037.BG98","X.037.BG98","GC","Gastric Cancer","X-037","BGJ398"
"X.037.biib","X.037.biib","GC","Gastric Cancer","X-037","binimetinib"
"X.037.BK20","X.037.BK20","GC","Gastric Cancer","X-037","BKM120"
"X.037.BY19","X.037.BY19","GC","Gastric Cancer","X-037","BYL719"
"X.037.BY19.HS90","X.037.BY19.HS90","GC","Gastric Cancer","X-037","BYL719 + HSP990"
"X.037.CL57","X.037.CL57","GC","Gastric Cancer","X-037","CLR457"
"X.037.evus","X.037.evus","GC","Gastric Cancer","X-037","everolimus"
"X.037.fiab","X.037.fiab","GC","Gastric Cancer","X-037","figitumumab"
"X.037.HD01","X.037.HD01","GC","Gastric Cancer","X-037","HDM201"
"X.037.HS90","X.037.HS90","GC","Gastric Cancer","X-037","HSP990"
"X.037.IN80","X.037.IN80","GC","Gastric Cancer","X-037","INC280"
"X.037.IN80.trab","X.037.IN80.trab","GC","Gastric Cancer","X-037","INC280 + trastuzumab"
"X.037.LE11","X.037.LE11","GC","Gastric Cancer","X-037","LEE011"
"X.037.LE11.evus","X.037.LE11.evus","GC","Gastric Cancer","X-037","LEE011 + everolimus"
"X.037.LJ16","X.037.LJ16","GC","Gastric Cancer","X-037","LJM716"
"X.037.LJ16.trab","X.037.LJ16.trab","GC","Gastric Cancer","X-037","LJM716 + trastuzumab"
"X.037.LL71","X.037.LL71","GC","Gastric Cancer","X-037","LLM871"
"X.037.trab","X.037.trab","GC","Gastric Cancer","X-037","trastuzumab"
"X.037.uned","X.037.uned","GC","Gastric Cancer","X-037","untreated"
"X.038.BG98","X.038.BG98","GC","Gastric Cancer","X-038","BGJ398"
"X.038.biib","X.038.biib","GC","Gastric Cancer","X-038","binimetinib"
"X.038.BK20","X.038.BK20","GC","Gastric Cancer","X-038","BKM120"
"X.038.BY19","X.038.BY19","GC","Gastric Cancer","X-038","BYL719"
"X.038.BY19.HS90","X.038.BY19.HS90","GC","Gastric Cancer","X-038","BYL719 + HSP990"
"X.038.BY19.LJ16","X.038.BY19.LJ16","GC","Gastric Cancer","X-038","BYL719 + LJM716"
"X.038.CL57","X.038.CL57","GC","Gastric Cancer","X-038","CLR457"
"X.038.evus","X.038.evus","GC","Gastric Cancer","X-038","everolimus"
"X.038.fiab","X.038.fiab","GC","Gastric Cancer","X-038","figitumumab"
"X.038.HD01","X.038.HD01","GC","Gastric Cancer","X-038","HDM201"
"X.038.HS90","X.038.HS90","GC","Gastric Cancer","X-038","HSP990"
"X.038.IN80","X.038.IN80","GC","Gastric Cancer","X-038","INC280"
"X.038.IN80.trab","X.038.IN80.trab","GC","Gastric Cancer","X-038","INC280 + trastuzumab"
"X.038.LE11","X.038.LE11","GC","Gastric Cancer","X-038","LEE011"
"X.038.LE11.evus","X.038.LE11.evus","GC","Gastric Cancer","X-038","LEE011 + everolimus"
"X.038.LJ16","X.038.LJ16","GC","Gastric Cancer","X-038","LJM716"
"X.038.LJ16.trab","X.038.LJ16.trab","GC","Gastric Cancer","X-038","LJM716 + trastuzumab"
"X.038.LL71","X.038.LL71","GC","Gastric Cancer","X-038","LLM871"
"X.038.trab","X.038.trab","GC","Gastric Cancer","X-038","trastuzumab"
"X.038.uned","X.038.uned","GC","Gastric Cancer","X-038","untreated"
"X.039.BY19","X.039.BY19","GC","Gastric Cancer","X-039","BYL719"
"X.039.BY19.HS90","X.039.BY19.HS90","GC","Gastric Cancer","X-039","BYL719 + HSP990"
"X.039.BY19.LJ16","X.039.BY19.LJ16","GC","Gastric Cancer","X-039","BYL719 + LJM716"
"X.039.evus","X.039.evus","GC","Gastric Cancer","X-039","everolimus"
"X.039.HS90","X.039.HS90","GC","Gastric Cancer","X-039","HSP990"
"X.039.LE11","X.039.LE11","GC","Gastric Cancer","X-039","LEE011"
"X.039.LE11.evus","X.039.LE11.evus","GC","Gastric Cancer","X-039","LEE011 + everolimus"
"X.039.LJ16","X.039.LJ16","GC","Gastric Cancer","X-039","LJM716"
"X.039.uned","X.039.uned","GC","Gastric Cancer","X-039","untreated"
"X.050.BY19","X.050.BY19","GC","Gastric Cancer","X-050","BYL719"
"X.050.BY19.HS90","X.050.BY19.HS90","GC","Gastric Cancer","X-050","BYL719 + HSP990"
"X.050.BY19.LJ16","X.050.BY19.LJ16","GC","Gastric Cancer","X-050","BYL719 + LJM716"
"X.050.evus","X.050.evus","GC","Gastric Cancer","X-050","everolimus"
"X.050.HS90","X.050.HS90","GC","Gastric Cancer","X-050","HSP990"
"X.050.LE11","X.050.LE11","GC","Gastric Cancer","X-050","LEE011"
"X.050.LE11.evus","X.050.LE11.evus","GC","Gastric Cancer","X-050","LEE011 + everolimus"
"X.050.LJ16","X.050.LJ16","GC","Gastric Cancer","X-050","LJM716"
"X.050.uned","X.050.uned","GC","Gastric Cancer","X-050","untreated"
"X.056.BG98","X.056.BG98","GC","Gastric Cancer","X-056","BGJ398"
"X.056.biib","X.056.biib","GC","Gastric Cancer","X-056","binimetinib"
"X.056.BK20","X.056.BK20","GC","Gastric Cancer","X-056","BKM120"
"X.056.BY19","X.056.BY19","GC","Gastric Cancer","X-056","BYL719"
"X.056.BY19.HS90","X.056.BY19.HS90","GC","Gastric Cancer","X-056","BYL719 + HSP990"
"X.056.BY19.LJ16","X.056.BY19.LJ16","GC","Gastric Cancer","X-056","BYL719 + LJM716"
"X.056.CL57","X.056.CL57","GC","Gastric Cancer","X-056","CLR457"
"X.056.evus","X.056.evus","GC","Gastric Cancer","X-056","everolimus"
"X.056.fiab","X.056.fiab","GC","Gastric Cancer","X-056","figitumumab"
"X.056.HD01","X.056.HD01","GC","Gastric Cancer","X-056","HDM201"
"X.056.HS90","X.056.HS90","GC","Gastric Cancer","X-056","HSP990"
"X.056.IN80","X.056.IN80","GC","Gastric Cancer","X-056","INC280"
"X.056.IN80.trab","X.056.IN80.trab","GC","Gastric Cancer","X-056","INC280 + trastuzumab"
"X.056.LE11","X.056.LE11","GC","Gastric Cancer","X-056","LEE011"
"X.056.LE11.evus","X.056.LE11.evus","GC","Gastric Cancer","X-056","LEE011 + everolimus"
"X.056.LJ16","X.056.LJ16","GC","Gastric Cancer","X-056","LJM716"
