"model.id","tissue","tissue.name","patient.id","drug"
"X.1119.BY19.enib","X.1119.BY19.enib","CRC","Colorectal Cancer","X-1119","BYL719 + encorafenib"
"X.1119.BY19.LJ16","X.1119.BY19.LJ16","CRC","Colorectal Cancer","X-1119","BYL719 + LJM716"
"X.1119.ceab","X.1119.ceab","CRC","Colorectal Cancer","X-1119","cetuximab"
"X.1119.ceab.enib","X.1119.ceab.enib","CRC","Colorectal Cancer","X-1119","cetuximab + encorafenib"
"X.1119.CG97","X.1119.CG97","CRC","Colorectal Cancer","X-1119","CGM097"
"X.1119.CK20","X.1119.CK20","CRC","Colorectal Cancer","X-1119","CKX620"
"X.1119.CL57","X.1119.CL57","CRC","Colorectal Cancer","X-1119","CLR457"
"X.1119.enib","X.1119.enib","CRC","Colorectal Cancer","X-1119","encorafenib"
"X.1119.HD01","X.1119.HD01","CRC","Colorectal Cancer","X-1119","HDM201"
"X.1119.LE11","X.1119.LE11","CRC","Colorectal Cancer","X-1119","LEE011"
"X.1119.LF27.biib","X.1119.LF27.biib","CRC","Colorectal Cancer","X-1119","LFW527 + binimetinib"
"X.1119.LJ49","X.1119.LJ49","CRC","Colorectal Cancer","X-1119","LJC049"
"X.1119.LK36","X.1119.LK36","CRC","Colorectal Cancer","X-1119","LKA136"
"X.1119.uned","X.1119.uned","CRC","Colorectal Cancer","X-1119","untreated"
"X.1167.5FFU","X.1167.5FFU","CRC","Colorectal Cancer","X-1167","5FU"
"X.1167.biib","X.1167.biib","CRC","Colorectal Cancer","X-1167","binimetinib"
"X.1167.BK20","X.1167.BK20","CRC","Colorectal Cancer","X-1167","BKM120"
"X.1167.BK20.LJ49","X.1167.BK20.LJ49","CRC","Colorectal Cancer","X-1167","BKM120 + LJC049"
"X.1167.BY19","X.1167.BY19","CRC","Colorectal Cancer","X-1167","BYL719"
"X.1167.BY19.biib","X.1167.BY19.biib","CRC","Colorectal Cancer","X-1167","BYL719 + binimetinib"
"X.1167.BY19.ceab","X.1167.BY19.ceab","CRC","Colorectal Cancer","X-1167","BYL719 + cetuximab"
"X.1167.BY19.ceab.enib","X.1167.BY19.ceab.enib","CRC","Colorectal Cancer","X-1167","BYL719 + cetuximab + encorafenib"
"X.1167.BY19.enib","X.1167.BY19.enib","CRC","Colorectal Cancer","X-1167","BYL719 + encorafenib"
"X.1167.BY19.LJ16","X.1167.BY19.LJ16","CRC","Colorectal Cancer","X-1167","BYL719 + LJM716"
"X.1167.ceab","X.1167.ceab","CRC","Colorectal Cancer","X-1167","cetuximab"
"X.1167.ceab.enib","X.1167.ceab.enib","CRC","Colorectal Cancer","X-1167","cetuximab + encorafenib"
"X.1167.CG97","X.1167.CG97","CRC","Colorectal Cancer","X-1167","CGM097"
"X.1167.CK20","X.1167.CK20","CRC","Colorectal Cancer","X-1167","CKX620"
"X.1167.CL57","X.1167.CL57","CRC","Colorectal Cancer","X-1167","CLR457"
"X.1167.enib","X.1167.enib","CRC","Colorectal Cancer","X-1167","encorafenib"
"X.1167.HD01","X.1167.HD01","CRC","Colorectal Cancer","X-1167","HDM201"
"X.1167.LE11","X.1167.LE11","CRC","Colorectal Cancer","X-1167","LEE011"
"X.1167.LF27.biib","X.1167.LF27.biib","CRC","Colorectal Cancer","X-1167","LFW527 + binimetinib"
"X.1167.LJ49","X.1167.LJ49","CRC","Colorectal Cancer","X-1167","LJC049"
"X.1167.LK36","X.1167.LK36","CRC","Colorectal Cancer","X-1167","LKA136"
"X.1167.uned","X.1167.uned","CRC","Colorectal Cancer","X-1167","untreated"
"X.1173.5FFU","X.1173.5FFU","CRC","Colorectal Cancer","X-1173","5FU"
"X.1173.biib","X.1173.biib","CRC","Colorectal Cancer","X-1173","binimetinib"
"X.1173.BK20","X.1173.BK20","CRC","Colorectal Cancer","X-1173","BKM120"
"X.1173.BK20.LJ49","X.1173.BK20.LJ49","CRC","Colorectal Cancer","X-1173","BKM120 + LJC049"
"X.1173.BY19","X.1173.BY19","CRC","Colorectal Cancer","X-1173","BYL719"
"X.1173.BY19.biib","X.1173.BY19.biib","CRC","Colorectal Cancer","X-1173","BYL719 + binimetinib"
"X.1173.BY19.ceab","X.1173.BY19.ceab","CRC","Colorectal Cancer","X-1173","BYL719 + cetuximab"
"X.1173.BY19.ceab.enib","X.1173.BY19.ceab.enib","CRC","Colorectal Cancer","X-1173","BYL719 + cetuximab + encorafenib"
"X.1173.BY19.enib","X.1173.BY19.enib","CRC","Colorectal Cancer","X-1173","BYL719 + encorafenib"
"X.1173.BY19.LJ16","X.1173.BY19.LJ16","CRC","Colorectal Cancer","X-1173","BYL719 + LJM716"
"X.1173.ceab","X.1173.ceab","CRC","Colorectal Cancer","X-1173","cetuximab"
"X.1173.ceab.enib","X.1173.ceab.enib","CRC","Colorectal Cancer","X-1173","cetuximab + encorafenib"
"X.1173.CG97","X.1173.CG97","CRC","Colorectal Cancer","X-1173","CGM097"
"X.1173.CK20","X.1173.CK20","CRC","Colorectal Cancer","X-1173","CKX620"
"X.1173.CL57","X.1173.CL57","CRC","Colorectal Cancer","X-1173","CLR457"
"X.1173.enib","X.1173.enib","CRC","Colorectal Cancer","X-1173","encorafenib"
"X.1173.HD01","X.1173.HD01","CRC","Colorectal Cancer","X-1173","HDM201"
"X.1173.LE11","X.1173.LE11","CRC","Colorectal Cancer","X-1173","LEE011"
"X.1173.LJ49","X.1173.LJ49","CRC","Colorectal Cancer","X-1173","LJC049"
"X.1173.LK36","X.1173.LK36","CRC","Colorectal Cancer","X-1173","LKA136"
"X.1173.uned","X.1173.uned","CRC","Colorectal Cancer","X-1173","untreated"
"X.1210.LF27.biib","X.1210.LF27.biib","CRC","Colorectal Cancer","X-1210","LFW527 + binimetinib"
"X.1234.LF27.biib","X.1234.LF27.biib","CRC","Colorectal Cancer","X-1234","LFW527 + binimetinib"
"X.1256.LF27.biib","X.1256.LF27.biib","CRC","Colorectal Cancer","X-1256","LFW527 + binimetinib"
"X.1270.5FFU","X.1270.5FFU","CRC","Colorectal Cancer","X-1270","5FU"
"X.1270.biib","X.1270.biib","CRC","Colorectal Cancer","X-1270","binimetinib"
"X.1270.BK20","X.1270.BK20","CRC","Colorectal Cancer","X-1270","BKM120"
"X.1270.BK20.LJ49","X.1270.BK20.LJ49","CRC","Colorectal Cancer","X-1270","BKM120 + LJC049"
"X.1270.BY19","X.1270.BY19","CRC","Colorectal Cancer","X-1270","BYL719"
"X.1270.BY19.biib","X.1270.BY19.biib","CRC","Colorectal Cancer","X-1270","BYL719 + binimetinib"
"X.1270.BY19.ceab","X.1270.BY19.ceab","CRC","Colorectal Cancer","X-1270","BYL719 + cetuximab"
"X.1270.BY19.ceab.enib","X.1270.BY19.ceab.enib","CRC","Colorectal Cancer","X-1270","BYL719 + cetuximab + encorafenib"
"X.1270.BY19.enib","X.1270.BY19.enib","CRC","Colorectal Cancer","X-1270","BYL719 + encorafenib"
"X.1270.BY19.LJ16","X.1270.BY19.LJ16","CRC","Colorectal Cancer","X-1270","BYL719 + LJM716"
"X.1270.ceab","X.1270.ceab","CRC","Colorectal Cancer","X-1270","cetuximab"
"X.1270.ceab.enib","X.1270.ceab.enib","CRC","Colorectal Cancer","X-1270","cetuximab + encorafenib"
"X.1270.CG97","X.1270.CG97","CRC","Colorectal Cancer","X-1270","CGM097"
"X.1270.CK20","X.1270.CK20","CRC","Colorectal Cancer","X-1270","CKX620"
"X.1270.CL57","X.1270.CL57","CRC","Colorectal Cancer","X-1270","CLR457"
"X.1270.enib","X.1270.enib","CRC","Colorectal Cancer","X-1270","encorafenib"
"X.1270.HD01","X.1270.HD01","CRC","Colorectal Cancer","X-1270","HDM201"
"X.1270.LE11","X.1270.LE11","CRC","Colorectal Cancer","X-1270","LEE011"
"X.1270.LJ49","X.1270.LJ49","CRC","Colorectal Cancer","X-1270","LJC049"
"X.1270.LK36","X.1270.LK36","CRC","Colorectal Cancer","X-1270","LKA136"
"X.1270.uned","X.1270.uned","CRC","Colorectal Cancer","X-1270","untreated"
"X.1290.5FFU","X.1290.5FFU","CRC","Colorectal Cancer","X-1290","5FU"
"X.1290.biib","X.1290.biib","CRC","Colorectal Cancer","X-1290","binimetinib"
"X.1290.BK20","X.1290.BK20","CRC","Colorectal Cancer","X-1290","BKM120"
"X.1290.BK20.LJ49","X.1290.BK20.LJ49","CRC","Colorectal Cancer","X-1290","BKM120 + LJC049"
"X.1290.BY19","X.1290.BY19","CRC","Colorectal Cancer","X-1290","BYL719"
"X.1290.BY19.biib","X.1290.BY19.biib","CRC","Colorectal Cancer","X-1290","BYL719 + binimetinib"
"X.1290.BY19.ceab","X.1290.BY19.ceab","CRC","Colorectal Cancer","X-1290","BYL719 + cetuximab"
"X.1290.BY19.ceab.enib","X.1290.BY19.ceab.enib","CRC","Colorectal Cancer","X-1290","BYL719 + cetuximab + encorafenib"
"X.1290.BY19.enib","X.1290.BY19.enib","CRC","Colorectal Cancer","X-1290","BYL719 + encorafenib"
"X.1290.BY19.LJ16","X.1290.BY19.LJ16","CRC","Colorectal Cancer","X-1290","BYL719 + LJM716"
"X.1290.ceab","X.1290.ceab","CRC","Colorectal Cancer","X-1290","cetuximab"
"X.1290.ceab.enib","X.1290.ceab.enib","CRC","Colorectal Cancer","X-1290","cetuximab + encorafenib"
"X.1290.CG97","X.1290.CG97","CRC","Colorectal Cancer","X-1290","CGM097"
"X.1290.CK20","X.1290.CK20","CRC","Colorectal Cancer","X-1290","CKX620"
"X.1290.CL57","X.1290.CL57","CRC","Colorectal Cancer","X-1290","CLR457"
"X.1290.enib","X.1290.enib","CRC","Colorectal Cancer","X-1290","encorafenib"
"X.1290.HD01","X.1290.HD01","CRC","Colorectal Cancer","X-1290","HDM201"
"X.1290.LE11","X.1290.LE11","CRC","Colorectal Cancer","X-1290","LEE011"
"X.1290.LF27.biib","X.1290.LF27.biib","CRC","Colorectal Cancer","X-1290","LFW527 + binimetinib"
"X.1290.LJ49","X.1290.LJ49","CRC","Colorectal Cancer","X-1290","LJC049"
"X.1290.LK36","X.1290.LK36","CRC","Colorectal Cancer","X-1290","LKA136"
"X.1290.uned","X.1290.uned","CRC","Colorectal Cancer","X-1290","untreated"
"X.1303.5FFU","X.1303.5FFU","CRC","Colorectal Cancer","X-1303","5FU"
"X.1303.biib","X.1303.biib","CRC","Colorectal Cancer","X-1303","binimetinib"
"X.1303.BK20","X.1303.BK20","CRC","Colorectal Cancer","X-1303","BKM120"
"X.1303.BY19","X.1303.BY19","CRC","Colorectal Cancer","X-1303","BYL719"
"X.1303.BY19.biib","X.1303.BY19.biib","CRC","Colorectal Cancer","X-1303","BYL719 + binimetinib"
"X.1303.BY19.ceab","X.1303.BY19.ceab","CRC","Colorectal Cancer","X-1303","BYL719 + cetuximab"
"X.1303.BY19.ceab.enib","X.1303.BY19.ceab.enib","CRC","Colorectal Cancer","X-1303","BYL719 + cetuximab + encorafenib"
"X.1303.BY19.LJ16","X.1303.BY19.LJ16","CRC","Colorectal Cancer","X-1303","BYL719 + LJM716"
"X.1303.ceab","X.1303.ceab","CRC","Colorectal Cancer","X-1303","cetuximab"
"X.1303.ceab.enib","X.1303.ceab.enib","CRC","Colorectal Cancer","X-1303","cetuximab + encorafenib"
"X.1303.CG97","X.1303.CG97","CRC","Colorectal Cancer","X-1303","CGM097"
"X.1303.CK20","X.1303.CK20","CRC","Colorectal Cancer","X-1303","CKX620"
"X.1303.CL57","X.1303.CL57","CRC","Colorectal Cancer","X-1303","CLR457"
"X.1303.enib","X.1303.enib","CRC","Colorectal Cancer","X-1303","encorafenib"
"X.1303.HD01","X.1303.HD01","CRC","Colorectal Cancer","X-1303","HDM201"
"X.1303.LE11","X.1303.LE11","CRC","Colorectal Cancer","X-1303","LEE011"
"X.1303.LF27.biib","X.1303.LF27.biib","CRC","Colorectal Cancer","X-1303","LFW527 + binimetinib"
"X.1303.LJ49","X.1303.LJ49","CRC","Colorectal Cancer","X-1303","LJC049"
"X.1303.LK36","X.1303.LK36","CRC","Colorectal Cancer","X-1303","LKA136"
"X.1303.uned","X.1303.uned","CRC","Colorectal Cancer","X-1303","untreated"
"X.1310.LF27.biib","X.1310.LF27.biib","CRC","Colorectal Cancer","X-1310","LFW527 + binimetinib"
"X.1329.5FFU","X.1329.5FFU","CRC","Colorectal Cancer","X-1329","5FU"
"X.1329.biib","X.1329.biib","CRC","Colorectal Cancer","X-1329","binimetinib"
"X.1329.BK20","X.1329.BK20","CRC","Colorectal Cancer","X-1329","BKM120"
"X.1329.BK20.LJ49","X.1329.BK20.LJ49","CRC","Colorectal Cancer","X-1329","BKM120 + LJC049"
"X.1329.BY19","X.1329.BY19","CRC","Colorectal Cancer","X-1329","BYL719"
"X.1329.BY19.biib","X.1329.BY19.biib","CRC","Colorectal Cancer","X-1329","BYL719 + binimetinib"
"X.1329.BY19.ceab","X.1329.BY19.ceab","CRC","Colorectal Cancer","X-1329","BYL719 + cetuximab"
"X.1329.BY19.ceab.enib","X.1329.BY19.ceab.enib","CRC","Colorectal Cancer","X-1329","BYL719 + cetuximab + encorafenib"
"X.1329.BY19.enib","X.1329.BY19.enib","CRC","Colorectal Cancer","X-1329","BYL719 + encorafenib"
"X.1329.BY19.LJ16","X.1329.BY19.LJ16","CRC","Colorectal Cancer","X-1329","BYL719 + LJM716"
"X.1329.ceab","X.1329.ceab","CRC","Colorectal Cancer","X-1329","cetuximab"
"X.1329.ceab.enib","X.1329.ceab.enib","CRC","Colorectal Cancer","X-1329","cetuximab + encorafenib"
"X.1329.CG97","X.1329.CG97","CRC","Colorectal Cancer","X-1329","CGM097"
"X.1329.CK20","X.1329.CK20","CRC","Colorectal Cancer","X-1329","CKX620"
"X.1329.CL57","X.1329.CL57","CRC","Colorectal Cancer","X-1329","CLR457"
"X.1329.enib","X.1329.enib","CRC","Colorectal Cancer","X-1329","encorafenib"
"X.1329.HD01","X.1329.HD01","CRC","Colorectal Cancer","X-1329","HDM201"
"X.1329.LE11","X.1329.LE11","CRC","Colorectal Cancer","X-1329","LEE011"
"X.1329.LF27.biib","X.1329.LF27.biib","CRC","Colorectal Cancer","X-1329","LFW527 + binimetinib"
"X.1329.LJ49","X.1329.LJ49","CRC","Colorectal Cancer","X-1329","LJC049"
"X.1329.LK36","X.1329.LK36","CRC","Colorectal Cancer","X-1329","LKA136"
"X.1329.uned","X.1329.uned","CRC","Colorectal Cancer","X-1329","untreated"
"X.1333.LF27.biib","X.1333.LF27.biib","CRC","Colorectal Cancer","X-1333","LFW527 + binimetinib"
"X.1402.LF27.biib","X.1402.LF27.biib","CRC","Colorectal Cancer","X-1402","LFW527 + binimetinib"
"X.1441.5FFU","X.1441.5FFU","CRC","Colorectal Cancer","X-1441","5FU"
"X.1441.biib","X.1441.biib","CRC","Colorectal Cancer","X-1441","binimetinib"
"X.1441.BK20","X.1441.BK20","CRC","Colorectal Cancer","X-1441","BKM120"
"X.1441.BK20.LJ49","X.1441.BK20.LJ49","CRC","Colorectal Cancer","X-1441","BKM120 + LJC049"
"X.1441.BY19","X.1441.BY19","CRC","Colorectal Cancer","X-1441","BYL719"
"X.1441.BY19.biib","X.1441.BY19.biib","CRC","Colorectal Cancer","X-1441","BYL719 + binimetinib"
"X.1441.BY19.ceab","X.1441.BY19.ceab","CRC","Colorectal Cancer","X-1441","BYL719 + cetuximab"
"X.1441.BY19.ceab.enib","X.1441.BY19.ceab.enib","CRC","Colorectal Cancer","X-1441","BYL719 + cetuximab + encorafenib"
"X.1441.BY19.enib","X.1441.BY19.enib","CRC","Colorectal Cancer","X-1441","BYL719 + encorafenib"
"X.1441.BY19.LJ16","X.1441.BY19.LJ16","CRC","Colorectal Cancer","X-1441","BYL719 + LJM716"
"X.1441.ceab","X.1441.ceab","CRC","Colorectal Cancer","X-1441","cetuximab"
"X.1441.ceab.enib","X.1441.ceab.enib","CRC","Colorectal Cancer","X-1441","cetuximab + encorafenib"
"X.1441.CG97","X.1441.CG97","CRC","Colorectal Cancer","X-1441","CGM097"
"X.1441.CK20","X.1441.CK20","CRC","Colorectal Cancer","X-1441","CKX620"
"X.1441.CL57","X.1441.CL57","CRC","Colorectal Cancer","X-1441","CLR457"
"X.1441.enib","X.1441.enib","CRC","Colorectal Cancer","X-1441","encorafenib"
"X.1441.HD01","X.1441.HD01","CRC","Colorectal Cancer","X-1441","HDM201"
"X.1441.LE11","X.1441.LE11","CRC","Colorectal Cancer","X-1441","LEE011"
"X.1441.LJ49","X.1441.LJ49","CRC","Colorectal Cancer","X-1441","LJC049"
"X.1441.LK36","X.1441.LK36","CRC","Colorectal Cancer","X-1441","LKA136"
"X.1441.uned","X.1441.uned","CRC","Colorectal Cancer","X-1441","untreated"
"X.1443.5FFU","X.1443.5FFU","CRC","Colorectal Cancer","X-1443","5FU"
"X.1443.biib","X.1443.biib","CRC","Colorectal Cancer","X-1443","binimetinib"
"X.1443.BK20","X.1443.BK20","CRC","Colorectal Cancer","X-1443","BKM120"
"X.1443.BK20.LJ49","X.1443.BK20.LJ49","CRC","Colorectal Cancer","X-1443","BKM120 + LJC049"
"X.1443.BY19","X.1443.BY19","CRC","Colorectal Cancer","X-1443","BYL719"
"X.1443.BY19.biib","X.1443.BY19.biib","CRC","Colorectal Cancer","X-1443","BYL719 + binimetinib"
"X.1443.BY19.ceab","X.1443.BY19.ceab","CRC","Colorectal Cancer","X-1443","BYL719 + cetuximab"
"X.1443.BY19.ceab.enib","X.1443.BY19.ceab.enib","CRC","Colorectal Cancer","X-1443","BYL719 + cetuximab + encorafenib"
"X.1443.BY19.enib","X.1443.BY19.enib","CRC","Colorectal Cancer","X-1443","BYL719 + encorafenib"
"X.1443.BY19.LJ16","X.1443.BY19.LJ16","CRC","Colorectal Cancer","X-1443","BYL719 + LJM716"
"X.1443.ceab","X.1443.ceab","CRC","Colorectal Cancer","X-1443","cetuximab"
"X.1443.ceab.enib","X.1443.ceab.enib","CRC","Colorectal Cancer","X-1443","cetuximab + encorafenib"
"X.1443.CG97","X.1443.CG97","CRC","Colorectal Cancer","X-1443","CGM097"
"X.1443.CK20","X.1443.CK20","CRC","Colorectal Cancer","X-1443","CKX620"
"X.1443.CL57","X.1443.CL57","CRC","Colorectal Cancer","X-1443","CLR457"
"X.1443.enib","X.1443.enib","CRC","Colorectal Cancer","X-1443","encorafenib"
"X.1443.HD01","X.1443.HD01","CRC","Colorectal Cancer","X-1443","HDM201"
"X.1443.LE11","X.1443.LE11","CRC","Colorectal Cancer","X-1443","LEE011"
"X.1443.LF27.biib","X.1443.LF27.biib","CRC","Colorectal Cancer","X-1443","LFW527 + binimetinib"
"X.1443.LJ49","X.1443.LJ49","CRC","Colorectal Cancer","X-1443","LJC049"
"X.1443.LK36","X.1443.LK36","CRC","Colorectal Cancer","X-1443","LKA136"
"X.1443.uned","X.1443.uned","CRC","Colorectal Cancer","X-1443","untreated"
"X.1479.5FFU","X.1479.5FFU","CRC","Colorectal Cancer","X-1479","5FU"
"X.1479.biib","X.1479.biib","CRC","Colorectal Cancer","X-1479","binimetinib"
"X.1479.BK20","X.1479.BK20","CRC","Colorectal Cancer","X-1479","BKM120"
"X.1479.BK20.LJ49","X.1479.BK20.LJ49","CRC","Colorectal Cancer","X-1479","BKM120 + LJC049"
"X.1479.BY19","X.1479.BY19","CRC","Colorectal Cancer","X-1479","BYL719"
"X.1479.BY19.biib","X.1479.BY19.biib","CRC","Colorectal Cancer","X-1479","BYL719 + binimetinib"
"X.1479.BY19.ceab","X.1479.BY19.ceab","CRC","Colorectal Cancer","X-1479","BYL719 + cetuximab"
"X.1479.BY19.ceab.enib","X.1479.BY19.ceab.enib","CRC","Colorectal Cancer","X-1479","BYL719 + cetuximab + encorafenib"
"X.1479.BY19.enib","X.1479.BY19.enib","CRC","Colorectal Cancer","X-1479","BYL719 + encorafenib"
"X.1479.BY19.LJ16","X.1479.BY19.LJ16","CRC","Colorectal Cancer","X-1479","BYL719 + LJM716"
"X.1479.ceab","X.1479.ceab","CRC","Colorectal Cancer","X-1479","cetuximab"
"X.1479.ceab.enib","X.1479.ceab.enib","CRC","Colorectal Cancer","X-1479","cetuximab + encorafenib"
"X.1479.CG97","X.1479.CG97","CRC","Colorectal Cancer","X-1479","CGM097"
